Word,Tested,successful,failed,new/known
Abend,0,0,0,n
evening,0,0,0,n
allgemein,0,0,0,n
general,0,0,0,n
alt,0,0,0,n
old,0,0,0,n
√§ndern,0,0,0,n
to change,0,0,0,n
Angst,0,0,0,n
fear,0,0,0,n
annehmen,0,0,0,n
to assume,0,0,0,n
Auto,0,0,0,n
car,0,0,0,n
Bedeutung,0,0,0,n
meaning,0,0,0,n
Beispiel,0,0,0,n
example,0,0,0,n
bekannt,0,0,0,n
well-known,0,0,0,n
Beruf,0,0,0,n
profession,0,0,0,n
beschreiben,0,0,0,n
to describe,0,0,0,n
Beziehung,0,0,0,n
relationship,0,0,0,n
bleiben,0,0,0,n
to stay,0,0,0,n
Boden,0,0,0,n
ground,0,0,0,n
Buch,0,0,0,n
book,0,0,0,n
denken,0,0,0,n
to think,0,0,0,n
deutlich,0,0,0,n
clear,0,0,0,n
einfach,0,0,0,n
easy,0,0,0,n
einzeln,0,0,0,n
individual,0,0,0,n
Erfahrung,0,0,0,n
experience,0,0,0,n
Ergebnis,0,0,0,n
result,0,0,0,n
Familie,0,0,0,n
family,0,0,0,n
finden,0,0,0,n
to find,0,0,0,n
Form,0,0,0,n
shape,0,0,0,n
Frage,0,0,0,n
question,0,0,0,n
Frau,0,0,0,n
woman,0,0,0,n
frei,0,0,0,n
free,0,0,0,n
fr√ºh,0,0,0,n
early,0,0,0,n
ganz,0,0,0,n
whole,0,0,0,n
geben,0,0,0,n
to give,0,0,0,n
gehen,0,0,0,n
to go,0,0,0,n
genau,0,0,0,n
exact,0,0,0,n
Gespr√§ch,0,0,0,n
conversation,0,0,0,n
glauben,0,0,0,n
to believe,0,0,0,n
gro√ü,0,0,0,n
big,0,0,0,n
gut,0,0,0,n
good,0,0,0,n
haben,0,0,0,n
to have,0,0,0,n
h√§ufig,0,0,0,n
frequent,0,0,0,n
hoch,0,0,0,n
high,0,0,0,n
Interesse,0,0,0,n
interest,0,0,0,n
Jahr,0,0,0,n
year,0,0,0,n
Kind,0,0,0,n
child,0,0,0,n
klein,0,0,0,n
small,0,0,0,n
kommen,0,0,0,n
to come,0,0,0,n
Krieg,0,0,0,n
war,0,0,0,n
Kunst,0,0,0,n
art,0,0,0,n
kurz,0,0,0,n
short,0,0,0,n
lang,0,0,0,n
†long,0,0,0,n
lassen,0,0,0,n
to let,0,0,0,n
Lehrer,0,0,0,n
teacher,0,0,0,n
lesen,0,0,0,n
to read,0,0,0,n
Mann,0,0,0,n
man,0,0,0,n
Mensch,0,0,0,n
human being,0,0,0,n
m√∂gen,0,0,0,n
to like,0,0,0,n
m√∂glich,0,0,0,n
possible,0,0,0,n
Morgen,0,0,0,n
morning,0,0,0,n
Musik,0,0,0,n
music,0,0,0,n
neu,0,0,0,n
new,0,0,0,n
nutzen,0,0,0,n
to use,0,0,0,n
planen,0,0,0,n
to plan,0,0,0,n
praktisch,0,0,0,n
practical,0,0,0,n
Rahmen,0,0,0,n
frame,0,0,0,n
Regel,0,0,0,n
rule,0,0,0,n
Regierung,0,0,0,n
government,0,0,0,n
richtig,0,0,0,n
correct,0,0,0,n
Richtung,0,0,0,n
direction,0,0,0,n
Rolle,0,0,0,n
role,0,0,0,n
rund,0,0,0,n
round,0,0,0,n
sagen,0,0,0,n
to say,0,0,0,n
schauen,0,0,0,n
to look,0,0,0,n
sch√∂n,0,0,0,n
beautiful,0,0,0,n
schreiben,0,0,0,n
to write,0,0,0,n
Schritt,0,0,0,n
step,0,0,0,n
schwierig,0,0,0,n
difficult,0,0,0,n
sehen,0,0,0,n
to see,0,0,0,n
Sein,0,0,0,n
to be,0,0,0,n
sicher,0,0,0,n
safe,0,0,0,n
Sohn,0,0,0,n
son,0,0,0,n
sp√§t,0,0,0,n
late,0,0,0,n
Spiel,0,0,0,n
game,0,0,0,n
spielen,0,0,0,n
to play,0,0,0,n
stehen,0,0,0,n
to stand,0,0,0,n
Stelle,0,0,0,n
place,0,0,0,n
Stimme,0,0,0,n
voice,0,0,0,n
suchen,0,0,0,n
to search,0,0,0,n
Tag,0,0,0,n
day,0,0,0,n
Tisch,0,0,0,n
table,0,0,0,n
T√ºr,0,0,0,n
door,0,0,0,n
vergleichen,0,0,0,n
to compare,0,0,0,n
verlassen,0,0,0,n
to leave,0,0,0,n
v√∂llig,0,0,0,n
complete,0,0,0,n
wachsen,0,0,0,n
to grow,0,0,0,n
Wasser,0,0,0,n
water,0,0,0,n
wichtig,0,0,0,n
important,0,0,0,n
wissen,0,0,0,n
to know,0,0,0,n
Wohnung,0,0,0,n
apartment,0,0,0,n
wollen,0,0,0,n
to want,0,0,0,n
Zeit,0,0,0,n
time,0,0,0,n
Zukunft,0,0,0,n
future,0,0,0,n
